#=====================================================
# File created:        Sun-26-Oct-2025-at-07-06-48PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        8.610912
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00196    0.4275   -1207.2114  0.4906 
   00197    0.4625   -1214.8229  0.4554 
   00198    0.4400   -1251.9061  0.4775 
   00199    0.3750   -1243.6355  0.4705 
   00200    0.4175   -1225.3664  0.4620 
   00201    0.4625   -1230.5979  0.4823 
   00202    0.4350   -1230.5685  0.4985 
   00203    0.3975   -1213.7173  0.4967 
   00204    0.4150   -1199.0171  0.4960 
   00205    0.4400   -1173.5851  0.4950 
   00206    0.4250   -1189.7202  0.4936 
   00207    0.4150   -1197.7382  0.4912 
   00208    0.4375   -1211.9047  0.5129 
   00209    0.3775   -1220.3167  0.5005 
   00210    0.4350   -1228.4036  0.5098 
   00211    0.4325   -1218.8457  0.4889 
   00212    0.4175   -1224.0492  0.4943 
   00213    0.4000   -1224.2892  0.5088 
   00214    0.3850   -1229.4857  0.5161 
   00215    0.4125   -1244.7007  0.5290 
   00216    0.4000   -1268.7530  0.5227 
   00217    0.3950   -1259.9164  0.5128 
   00218    0.4200   -1270.2938  0.5022 
   00219    0.3950   -1262.5650  0.5009 
   00220    0.4050   -1263.0614  0.5008 
   00221    0.4175   -1265.5801  0.5018 
   00222    0.4425   -1264.7862  0.5021 
   00223    0.4025   -1242.9306  0.4858 
   00224    0.4575   -1254.1353  0.4805 
   00225    0.4100   -1246.2921  0.5010 
   00226    0.4500   -1240.0492  0.5116 
   00227    0.3875   -1250.9834  0.5223 
   00228    0.4200   -1255.4096  0.5064 
   00229    0.4350   -1240.8887  0.4867 
   00230    0.3925   -1194.0289  0.4775 
   00231    0.4025   -1197.8497  0.4734 
   00232    0.4125   -1206.7067  0.4873 
   00233    0.4200   -1247.7099  0.5016 
   00234    0.4100   -1280.9158  0.4922 
   00235    0.3650   -1261.4235  0.4825 
   00236    0.4150   -1263.4329  0.4716 
   00237    0.4150   -1254.4113  0.4694 
   00238    0.4050   -1267.5772  0.4693 
   00239    0.4125   -1248.8497  0.4799 
   00240    0.3925   -1250.2531  0.4909 
   00241    0.4125   -1218.2356  0.4931 
   00242    0.4375   -1238.1434  0.4847 
   00243    0.4200   -1233.1723  0.4896 
   00244    0.3950   -1226.1843  0.4582 
   00245    0.4175   -1244.3099  0.4730 
   00246    0.4075   -1258.7552  0.4787 
   00247    0.3975   -1250.6464  0.4961 
   00248    0.3875   -1240.8923  0.4999 
   00249    0.4150   -1248.9931  0.5062 
   00250    0.3775   -1261.9203  0.5161 
   00251    0.3950   -1242.4561  0.5069 
   00252    0.4050   -1218.9913  0.5090 
   00253    0.4025   -1227.6152  0.5276 
   00254    0.4400   -1229.6739  0.5257 
   00255    0.3925   -1223.3012  0.5287 
   00256    0.4375   -1244.8097  0.5415 
   00257    0.3925   -1241.9674  0.5541 
   00258    0.3675   -1252.2553  0.5628 
   00259    0.3900   -1256.9774  0.5646 
   00260    0.4050   -1280.8044  0.5562 
   00261    0.3675   -1265.5942  0.5640 
   00262    0.3975   -1280.3449  0.5817 
   00263    0.3750   -1274.1887  0.5793 
   00264    0.4175   -1279.7240  0.5601 
   00265    0.4175   -1262.7376  0.5688 
   00266    0.3700   -1255.1408  0.5766 
   00267    0.4000   -1286.6870  0.5801 
   00268    0.4325   -1275.6748  0.5749 
   00269    0.3900   -1265.6664  0.5692 
   00270    0.4250   -1285.4427  0.5829 
   00271    0.4025   -1302.5407  0.5748 
   00272    0.4100   -1304.0261  0.5805 
   00273    0.4050   -1301.0735  0.5824 
   00274    0.3925   -1279.5767  0.5976 
   00275    0.4125   -1272.1646  0.5837 
   00276    0.3750   -1267.6002  0.5722 
   00277    0.3500   -1250.9296  0.5599 
   00278    0.3600   -1234.6273  0.5468 
   00279    0.4000   -1220.3176  0.5496 
   00280    0.4025   -1229.9000  0.5490 
   00281    0.4200   -1196.6831  0.5687 
   00282    0.4425   -1197.8005  0.5818 
   00283    0.4550   -1205.7660  0.5919 
   00284    0.4500   -1216.8280  0.5843 
