#=====================================================
# File created:        Sun-26-Oct-2025-at-07-07-45PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.586689
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00262    0.5900   -1192.1491  0.5001 
   00263    0.5050   -1208.3973  0.5082 
   00264    0.5325   -1230.3590  0.5205 
   00265    0.5275   -1256.1649  0.5385 
   00266    0.5625   -1205.6073  0.5093 
   00267    0.5150   -1220.8259  0.5035 
   00268    0.5575   -1211.7185  0.4940 
   00269    0.5600   -1214.6652  0.4822 
   00270    0.5300   -1199.0296  0.4653 
   00271    0.6025   -1205.3822  0.4555 
   00272    0.5475   -1204.6824  0.4457 
   00273    0.5400   -1219.9088  0.4413 
   00274    0.5600   -1230.4043  0.4467 
   00275    0.5575   -1202.3745  0.4344 
   00276    0.5000   -1226.6123  0.4404 
   00277    0.5225   -1232.3674  0.4496 
   00278    0.4875   -1239.8993  0.4491 
   00279    0.5725   -1252.1095  0.4465 
   00280    0.5450   -1253.6092  0.4688 
   00281    0.5550   -1236.9740  0.4813 
   00282    0.5200   -1224.2666  0.4690 
   00283    0.5100   -1242.9171  0.4807 
   00284    0.4950   -1237.3576  0.4648 
   00285    0.6225   -1231.7764  0.4579 
   00286    0.5300   -1236.6071  0.4373 
   00287    0.5475   -1221.8742  0.4601 
   00288    0.5600   -1231.2334  0.4736 
   00289    0.5525   -1237.0133  0.4812 
   00290    0.5550   -1249.2984  0.4786 
   00291    0.5700   -1246.4632  0.4815 
   00292    0.5825   -1253.0761  0.4715 
   00293    0.5225   -1264.6692  0.4796 
   00294    0.5450   -1249.3060  0.4771 
   00295    0.4975   -1247.6413  0.4699 
   00296    0.5100   -1239.9602  0.4667 
   00297    0.5500   -1207.1307  0.4528 
   00298    0.5225   -1211.2814  0.4443 
   00299    0.4750   -1232.8968  0.4393 
   00300    0.5525   -1238.1200  0.4427 
   00301    0.5150   -1244.9070  0.4318 
   00302    0.4825   -1253.7220  0.4120 
   00303    0.5675   -1265.7707  0.4314 
   00304    0.5150   -1232.7486  0.4479 
   00305    0.5100   -1222.5359  0.4448 
   00306    0.5225   -1214.1475  0.4492 
   00307    0.5050   -1234.9168  0.4646 
   00308    0.5650   -1251.4578  0.4498 
