#=====================================================
# File created:        Sun-26-Oct-2025-at-07-08-21PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        0.709242
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00450    0.4175   -1245.5680  0.7500 
   00451    0.3775   -1227.6415  0.7519 
   00452    0.4500   -1234.4830  0.7382 
   00453    0.4300   -1222.8091  0.7238 
   00454    0.4375   -1241.8842  0.7396 
   00455    0.4400   -1260.0681  0.7537 
   00456    0.4025   -1287.2931  0.7830 
   00457    0.4150   -1291.6982  0.7862 
   00458    0.3900   -1288.7421  0.7815 
   00459    0.4150   -1306.3361  0.7707 
   00460    0.3900   -1300.6608  0.7627 
   00461    0.4500   -1293.5730  0.7664 
   00462    0.4150   -1305.8215  0.7764 
   00463    0.4025   -1298.1151  0.7948 
   00464    0.3675   -1311.2587  0.7949 
   00465    0.4400   -1295.3456  0.7883 
   00466    0.4475   -1321.4806  0.8046 
   00467    0.3775   -1300.5537  0.8050 
   00468    0.4550   -1288.4287  0.7920 
   00469    0.3725   -1277.1727  0.7862 
   00470    0.4150   -1270.8134  0.8013 
   00471    0.4175   -1279.2862  0.8079 
   00472    0.4075   -1266.7672  0.7946 
   00473    0.3875   -1273.3281  0.7865 
   00474    0.4200   -1242.2543  0.7886 
   00475    0.4025   -1223.7207  0.7759 
   00476    0.4300   -1218.9501  0.7722 
   00477    0.4075   -1225.3799  0.7635 
   00478    0.4225   -1252.4715  0.7662 
   00479    0.4500   -1266.2231  0.7781 
   00480    0.3775   -1263.9150  0.7788 
   00481    0.4050   -1259.2684  0.7819 
   00482    0.4000   -1259.2965  0.7830 
   00483    0.3975   -1269.9918  0.7688 
   00484    0.3925   -1269.3077  0.7664 
   00485    0.4050   -1277.9239  0.7758 
   00486    0.3775   -1283.8712  0.7796 
   00487    0.4025   -1319.8802  0.7894 
   00488    0.3675   -1297.0841  0.7831 
   00489    0.4400   -1318.8282  0.7821 
   00490    0.3700   -1328.7684  0.7863 
   00491    0.3875   -1325.0062  0.7825 
   00492    0.3350   -1313.5085  0.7834 
   00493    0.4000   -1309.6640  0.8034 
   00494    0.4000   -1309.7505  0.7943 
   00495    0.3850   -1295.9577  0.7880 
   00496    0.4050   -1268.6493  0.7863 
   00497    0.3900   -1273.7912  0.7849 
   00498    0.3700   -1275.7047  0.7806 
   00499    0.3900   -1282.7432  0.7878 
   00500    0.4250   -1267.2910  0.7786 
