#=====================================================
# File created:        Mon-03-Nov-2025-at-09-12-19PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        2.579831
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00289    0.1862   -1290.2608  0.7870 
   00290    0.2087   -1280.2059  0.7860 
   00291    0.2075   -1291.4376  0.7947 
   00292    0.1900   -1300.4803  0.7927 
   00293    0.2263   -1293.9261  0.8037 
   00294    0.2037   -1280.3987  0.8002 
   00295    0.2075   -1298.0550  0.8029 
   00296    0.2012   -1307.0733  0.8107 
   00297    0.1812   -1317.0993  0.8140 
   00298    0.1625   -1281.9423  0.8090 
   00299    0.2062   -1271.2487  0.8043 
   00300    0.2112   -1263.9214  0.7988 
   00301    0.2100   -1263.5128  0.7941 
   00302    0.2037   -1259.4233  0.7932 
   00303    0.1850   -1242.1846  0.7723 
   00304    0.1987   -1226.6708  0.7782 
   00305    0.1962   -1257.3731  0.7793 
   00306    0.2087   -1250.0704  0.7731 
   00307    0.2188   -1246.1688  0.7578 
   00308    0.1888   -1214.8564  0.7437 
   00309    0.1938   -1228.6616  0.7550 
   00310    0.2137   -1220.4437  0.7461 
   00311    0.2012   -1209.6257  0.7651 
   00312    0.2075   -1221.7138  0.7611 
   00313    0.1825   -1222.8108  0.7639 
   00314    0.1938   -1266.2435  0.7767 
   00315    0.2062   -1249.7460  0.7775 
   00316    0.2012   -1258.6691  0.7890 
   00317    0.1975   -1269.9187  0.7933 
   00318    0.1950   -1266.3320  0.8058 
   00319    0.2125   -1267.4339  0.8069 
   00320    0.2162   -1282.6477  0.8116 
   00321    0.2175   -1292.3376  0.8177 
   00322    0.2112   -1277.3894  0.8174 
   00323    0.2162   -1260.7597  0.8206 
   00324    0.2112   -1255.1754  0.8056 
   00325    0.2112   -1251.2116  0.7991 
   00326    0.1975   -1272.1661  0.8129 
   00327    0.1725   -1265.6180  0.8061 
   00328    0.2200   -1263.7996  0.8133 
   00329    0.2125   -1234.9146  0.8056 
   00330    0.1925   -1242.5393  0.8215 
   00331    0.1837   -1287.3719  0.8321 
   00332    0.2025   -1291.5997  0.8314 
   00333    0.1900   -1286.0821  0.8455 
   00334    0.2087   -1281.8057  0.8515 
   00335    0.1938   -1283.7721  0.8435 
   00336    0.2062   -1253.8530  0.8290 
   00337    0.2137   -1273.7583  0.8227 
   00338    0.2012   -1272.4125  0.8182 
   00339    0.1788   -1265.3399  0.8214 
   00340    0.1900   -1274.9888  0.8320 
   00341    0.2037   -1294.6379  0.8328 
   00342    0.2150   -1276.9760  0.8272 
   00343    0.2100   -1261.1660  0.8147 
   00344    0.1825   -1267.1874  0.8241 
   00345    0.2250   -1264.4662  0.8271 
   00346    0.2050   -1262.3083  0.8264 
   00347    0.1987   -1241.1438  0.8200 
   00348    0.2012   -1234.2191  0.8191 
   00349    0.2275   -1275.1018  0.8365 
   00350    0.2025   -1285.8460  0.8446 
   00351    0.2062   -1330.4694  0.8563 
   00352    0.1825   -1320.9739  0.8591 
   00353    0.1988   -1316.4811  0.8585 
   00354    0.1988   -1326.1019  0.8591 
   00355    0.1925   -1310.6323  0.8525 
   00356    0.1963   -1305.2953  0.8498 
   00357    0.1800   -1326.0588  0.8574 
   00358    0.1862   -1296.5950  0.8527 
   00359    0.1812   -1301.5584  0.8566 
   00360    0.1900   -1302.5795  0.8494 
   00361    0.2075   -1292.3180  0.8405 
   00362    0.2213   -1298.4880  0.8335 
   00363    0.1950   -1293.5522  0.8250 
   00364    0.1875   -1284.8382  0.8229 
   00365    0.1813   -1282.7461  0.8239 
   00366    0.2075   -1295.1766  0.8269 
   00367    0.2062   -1283.5510  0.8103 
   00368    0.2288   -1276.5604  0.8078 
   00369    0.2188   -1296.2237  0.8113 
   00370    0.1763   -1303.5208  0.8051 
   00371    0.2112   -1312.9435  0.8017 
   00372    0.2000   -1297.6505  0.7877 
   00373    0.1962   -1302.5925  0.7901 
   00374    0.1925   -1292.3913  0.7808 
   00375    0.1925   -1294.8223  0.7792 
   00376    0.1925   -1301.3997  0.7717 
   00377    0.2112   -1300.2490  0.7886 
   00378    0.1975   -1331.0141  0.8012 
   00379    0.1925   -1320.8594  0.8085 
   00380    0.1938   -1313.9062  0.8097 
   00381    0.1837   -1329.9351  0.8202 
   00382    0.1900   -1309.7982  0.8200 
   00383    0.1713   -1324.1002  0.8271 
   00384    0.1963   -1296.9967  0.7956 
   00385    0.2075   -1301.2698  0.8034 
   00386    0.1713   -1290.4379  0.8002 
   00387    0.2112   -1282.3612  0.8097 
   00388    0.1963   -1307.2547  0.8187 
   00389    0.1850   -1319.4518  0.8142 
   00390    0.1825   -1308.8833  0.8108 
   00391    0.1800   -1316.7091  0.8203 
   00392    0.2137   -1310.5572  0.8205 
   00393    0.2000   -1328.2302  0.8246 
   00394    0.1825   -1334.6864  0.8148 
   00395    0.1850   -1316.4324  0.8116 
   00396    0.2037   -1335.1710  0.8102 
   00397    0.1975   -1346.3011  0.8038 
   00398    0.2013   -1328.2615  0.7973 
   00399    0.2062   -1294.2286  0.7853 
   00400    0.2175   -1296.7477  0.7968 
